
> school-attendance-web@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.12 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.135:3000
✓ Ready in 567ms

 GET /login 200 in 477ms (next.js: 58ms, proxy.ts: 135ms, application-code: 283ms)
 GET /dashboard 200 in 341ms (next.js: 23ms, proxy.ts: 199ms, application-code: 119ms)
 GET /login 200 in 30ms (next.js: 4ms, proxy.ts: 3ms, application-code: 23ms)
 GET /login 200 in 25ms (next.js: 5ms, proxy.ts: 5ms, application-code: 15ms)
 GET /login 200 in 22ms (next.js: 5ms, proxy.ts: 4ms, application-code: 13ms)
 GET /dashboard 200 in 21ms (next.js: 4ms, proxy.ts: 3ms, application-code: 14ms)
 GET /dashboard 200 in 20ms (next.js: 3ms, proxy.ts: 2ms, application-code: 14ms)
 GET /students 200 in 461ms (next.js: 442ms, proxy.ts: 4ms, application-code: 15ms)
 GET /login 200 in 33ms (next.js: 4ms, proxy.ts: 3ms, application-code: 26ms)
 GET /student-accounts 200 in 1158ms (next.js: 1102ms, proxy.ts: 9ms, application-code: 47ms)
 GET /student-accounts 200 in 69ms (next.js: 14ms, proxy.ts: 11ms, application-code: 44ms)
 GET /students 200 in 78ms (next.js: 8ms, proxy.ts: 7ms, application-code: 63ms)
 GET /dashboard 200 in 97ms (next.js: 10ms, proxy.ts: 8ms, application-code: 79ms)
 GET /dashboard 200 in 271ms (next.js: 9ms, proxy.ts: 6ms, application-code: 256ms)
 GET / 307 in 1240ms (next.js: 825ms, proxy.ts: 8ms, application-code: 408ms)
 GET /dashboard 200 in 299ms (next.js: 35ms, proxy.ts: 19ms, application-code: 245ms)
 GET /login 200 in 57ms (next.js: 9ms, proxy.ts: 7ms, application-code: 40ms)
 GET /login 200 in 145ms (next.js: 48ms, proxy.ts: 12ms, application-code: 85ms)
 GET /login 200 in 155ms (next.js: 13ms, proxy.ts: 12ms, application-code: 130ms)
 GET /login 200 in 168ms (next.js: 37ms, proxy.ts: 10ms, application-code: 121ms)
 GET /login 200 in 120ms (next.js: 9ms, proxy.ts: 7ms, application-code: 104ms)
 GET /login 200 in 147ms (next.js: 9ms, proxy.ts: 7ms, application-code: 131ms)
 GET /dashboard 200 in 207ms (next.js: 22ms, proxy.ts: 15ms, application-code: 170ms)
 GET /dashboard 200 in 119ms (next.js: 26ms, proxy.ts: 33ms, application-code: 59ms)
 GET /student-accounts 200 in 61ms (next.js: 13ms, proxy.ts: 7ms, application-code: 40ms)
 GET /login 200 in 53ms (next.js: 12ms, proxy.ts: 8ms, application-code: 33ms)
 GET /login 200 in 44ms (next.js: 7ms, proxy.ts: 8ms, application-code: 29ms)
 GET /check-in 200 in 897ms (next.js: 844ms, proxy.ts: 14ms, application-code: 39ms)
 GET /check-in 200 in 125ms (next.js: 52ms, proxy.ts: 37ms, application-code: 36ms)
 GET /login 200 in 73ms (next.js: 12ms, proxy.ts: 8ms, application-code: 52ms)
 GET /login 200 in 85ms (next.js: 22ms, proxy.ts: 13ms, application-code: 49ms)
 GET /dashboard 200 in 131ms (next.js: 12ms, proxy.ts: 18ms, application-code: 101ms)
 GET /dashboard 200 in 129ms (next.js: 61ms, proxy.ts: 17ms, application-code: 51ms)
 GET /students 200 in 132ms (next.js: 10ms, proxy.ts: 7ms, application-code: 114ms)
 GET /student-accounts 200 in 41ms (next.js: 8ms, proxy.ts: 7ms, application-code: 26ms)
 GET /student-accounts 200 in 306ms (next.js: 11ms, proxy.ts: 8ms, application-code: 287ms)
 GET /student-accounts 200 in 552ms (next.js: 167ms, proxy.ts: 166ms, application-code: 218ms)
 GET /login 200 in 122ms (next.js: 38ms, proxy.ts: 11ms, application-code: 72ms)
 GET /student-accounts 200 in 382ms (next.js: 11ms, proxy.ts: 7ms, application-code: 365ms)
 GET /attendance 200 in 819ms (next.js: 772ms, proxy.ts: 15ms, application-code: 33ms)
 GET /students 200 in 68ms (next.js: 24ms, proxy.ts: 9ms, application-code: 35ms)
 GET /student-accounts 200 in 45ms (next.js: 10ms, proxy.ts: 7ms, application-code: 28ms)
 GET /student-accounts 200 in 190ms (next.js: 9ms, proxy.ts: 9ms, application-code: 173ms)
 GET /student-accounts 200 in 183ms (next.js: 8ms, proxy.ts: 6ms, application-code: 170ms)
 GET /attendance-logs 200 in 662ms (next.js: 614ms, proxy.ts: 7ms, application-code: 41ms)
 GET /attendance-logs 200 in 46ms (next.js: 6ms, proxy.ts: 4ms, application-code: 36ms)
